Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_BIOLOGICAL_PROCESS	KW-0444~Lipid biosynthesis	30	6.8493150684931505	6.976553356692646E-16	TECR, ACACB, ACACA, TM7SF2, FADS2, CYB5R3, PTPMT1, PMVK, SC5D, SCD1, FADS1, DEGS1L, ELOVL1, FDPS, ELOVL5, MID1IP1, ELOVL2, ELOVL3, ELOVL6, CYP7B1, LSS, CYP27A1, ACLY, GPAM, ETNK2, LPCAT3, FASN, PNPLA3, THRSP, DHCR7	239	133	6830	6.446031396482839	7.793765632868599E-14	8.162567427330396E-14	7.604443158794983E-14
GOTERM_MF_DIRECT	GO:0036094~small molecule binding	17	3.881278538812785	7.805831021283793E-14	MUP20, MUP21, MUP15, MUP16, MUP17, MUP18, MUP7, MUP11, MUP22, MUP1, MUP12, MUP2, MUP3, MUP14, MUP8, MUP19, MUP9	415	38	11355	12.240646797717185	6.696576626552542E-11	2.2324676720871646E-11	2.188234629633223E-11
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	54	12.32876712328767	1.0872910637097615E-12	TECR, AKR1B1, COMT, TM7SF2, SMPD3, FADS2, CES2C, GM2A, SCD1, ACP3, FADS1, ELOVL1, ELOVL5, ELOVL2, ELOVL3, ACOT11, ACSL5, ELOVL6, PTGR1, CYP7B1, LSS, CYP27A1, ACLY, CYP2U1, ASPG, ACSS2, GSTP1, FITM1, ACAA1B, ACACB, ACACA, CYB5R3, RDH11, PTPMT1, PMVK, SC5D, DEGS1L, FDPS, PNPLA7, SRD5A1, MID1IP1, SLC16A11, GALC, CYP2C23, GPAM, ETNK2, FASN, LPCAT3, CYP1A2, PNPLA3, THRSP, PNPLA5, DHCR7, PNPLA2	239	535	6830	2.8844484417158722	1.2720724473780365E-10	6.360652722702104E-11	5.9257362972182E-11
KEGG_PATHWAY	mmu01100:Metabolic pathways	109	24.885844748858446	1.6938967433184708E-12	ENO1, COMT, NADSYN1, CMAH, TM7SF2, FADS2, FADS1, TALDO1, ACSL5, MIF, PGD, CYP27A1, ACLY, CYP2U1, GNE, PFKFB1, CYP4A12A, CYP4A12B, COX7A2, ACACB, ACAT2, ACACA, ACMSD, LDHB, TKFC, MAN2A2, RDH11, PMVK, CYC1, PRODH, FDPS, GOT1, SRD5A1, COQ7, QDPR, LACC1, NAT8, CYP2C23, FASN, CYP1A2, ECHDC1, CYCS, KYAT1, DHCR7, GSTM6, ALAS2, UGT2B1, GBE1, TAT, TECR, QPRT, AKR1B1, PYGL, KHK, GYS2, SMPD3, GPI1, NAT8F6, NAT8F5, ME1, PDE4A, ACP5, SCD1, DLAT, TK1, GUSB, NAT8F7, ELOVL1, ELOVL5, ELOVL2, ELOVL3, ELOVL6, LSS, FH1, INMT, APRT, G6PDX, ITPKA, ALDOB, TKT, FBP1, GAPDH, ACSS2, GSTP3, GSTP1, HAAO, ACAA1B, ADCY1, NT5C2, COX5A, GULO, SELENBP2, UGT1A5, SC5D, DEGS1L, NDUFA8, RRM2, PKLR, NDUFA5, UGT2B38, UGT2B37, ASS1, GALC, GALE, GPAM, ETNK2, PNPLA3, PNPLA2, UOX	257	1260	5496	1.8499907355938483	5.115479151385216E-10	5.115568164821782E-10	4.912300555623566E-10
GOTERM_BP_DIRECT	GO:0006636~unsaturated fatty acid biosynthetic process	10	2.28310502283105	3.36655321060727E-10	FABP1, ELOVL1, FADS2, ELOVL5, ELOVL2, ELOVL3, ELOVL6, ACAA1B, SCD1, FADS1	407	15	11449	18.75348075348075	7.753170172541957E-7	7.753172044028542E-7	7.638709234867895E-7
UP_KW_PTM	KW-0325~Glycoprotein	110	25.11415525114155	1.0956843423284596E-8	SPON2, SERPINE2, SLC23A1, AQP8, IHH, CLU, C4A, EFEMP1, CDH1, TNFSF10, LEPR, PRSS8, POSTN, FST, IGFBP2, F2R, ADAM11, PCOLCE, MR1, TPST2, OLFM3, ABCG2, IGSF8, CPB2, SUCNR1, CHRNA4, SLC1A5, NID2, FBLN5, C2, TMEM25, DPP7, C6, MAN2A2, C9, SERPINH1, TPPP, SLC38A3, PLTP, IL11RA1, GRIA3, CD276, PRNP, CADM4, FZD7, CELA1, COL1A1, BST2, COL1A2, MAN2B2, CYP1A2, COL5A2, CSPG5, H2-Q10, MOXD1, IGHM, UGT2B1, COL14A1, SLC2A4, C8B, ROBO1, SERPINA1A, C8G, GM2A, CES2E, ACP5, ACP3, GUSB, HGFAC, MANBA, MME, ELOVL3, ELOVL6, SERPINA1E, CES4A, IL17RB, TGFBR2, MUP3, ADGRF1, MMP15, NRG4, ITIH5, HCN3, COL15A1, TNXB, H2-Q6, LAMA3, H2-Q7, H2-Q4, LRP2, ADCY1, SUSD4, UGT1A5, D17H6S56E-5, GABBR2, LINGO4, F11, VEGFB, SEMA4G, GALC, CD4, P2RX4, LPCAT3, PNPLA3, KCP, CD9, VIM, RECK, NECTIN2, PNPLA2	308	1876	8654	1.647502284495888	2.6296420929661224E-7	1.3696054279105745E-7	1.2600369936777285E-7
GOTERM_BP_DIRECT	GO:0045475~locomotor rhythm	9	2.054794520547945	7.478962174734832E-8	MUP9, USP2, ROGDI, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	18	11449	14.065110565110565	1.7222567271302225E-4	6.553806252376474E-5	6.457050102753896E-5
GOTERM_BP_DIRECT	GO:0006633~fatty acid biosynthetic process	15	3.4246575342465753	8.53730731963935E-8	ELOVL1, ELOVL5, ELOVL2, TECR, ELOVL3, ELOVL6, ACAA1B, ACACB, ACACA, FABP1, ACLY, FADS2, FASN, SCD1, FADS1	407	68	11449	6.2051958375487795	1.9659486859080477E-4	6.553806252376474E-5	6.457050102753896E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0275~Fatty acid biosynthesis	12	2.73972602739726	1.202886632059145E-7	ELOVL1, FADS2, ELOVL5, ELOVL2, FASN, TECR, ELOVL3, ELOVL6, SCD1, ACACB, ACACA, FADS1	239	42	6830	8.164973102211595	1.4073675411840902E-5	4.691257865030665E-6	4.37048809648156E-6
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	44	10.045662100456621	1.4417599629233862E-7	MOXD1, CYP4A12A, CYP4A12B, HAAO, TECR, AKR1B1, COX7A2, CMAH, TM7SF2, GULO, PRDX3, LDHB, FADS2, SELENBP2, CYP2D9, CYP2D11, CYB5R3, RDH11, ME1, SC5D, SCD1, PRODH, FADS1, DEGS1L, RRM2, SRD5A1, DIO1, PGD, CYP7B1, PTGR1, COQ7, CYP27A1, QDPR, DHRS7, CYP2C23, CYP2U1, FASN, CYP1A2, G6PDX, PYROXD2, DHCR7, GAPDH, PAOX, UOX	267	487	6951	2.352121449830422	1.0524793099153662E-5	1.052484772934072E-5	1.0092319740463704E-5
